experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.87953103
core_adaptation,alc,recall_mse,0.63067806
core_adaptation,alc_no_write,recall_mse,0.32839790
core_adaptation,baseline,recall_acc,0.01562500
core_adaptation,alc,recall_acc,0.14062500
core_adaptation,alc_no_write,recall_acc,0.07812500
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.63524634
stability,alc,slot_norm_max,0.78419435
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09416249
trainability,interface_trainable,loss_after,0.07553441
trainability,interface_frozen,loss_eval,0.09416249
language_benchmark,baseline,recall_mse,0.85298365
language_benchmark,alc,recall_mse,0.73256755
language_benchmark,alc_no_write,recall_mse,0.35355517
language_benchmark,baseline,recall_acc,0.01041667
language_benchmark,alc,recall_acc,0.01041667
language_benchmark,alc_no_write,recall_acc,0.00000000
tinyqa,baseline,qa_acc_delay_0,0.03333334
tinyqa,alc,qa_acc_delay_0,0.03333334
tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
tinyqa,baseline,qa_acc_delay_4,0.03333334
tinyqa,alc,qa_acc_delay_4,0.06666667
tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.06666667
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_delay_8,0.03333334
tinyqa,alc,qa_acc_delay_8,0.05000000
tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.05000000
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_mean,0.03333334
tinyqa,alc,qa_acc_mean,0.05000000
tinyqa,alc_no_write,qa_acc_mean,0.03333334
tinyqa,dataset,num_samples,60.00000000
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.28635991
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.30003178
ablation,S4_eta0.05_softmax_additive,recall_mse,0.33535638
ablation,S4_eta0.05_softmax_gated,recall_mse,0.31279784
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.36081809
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.34269607
