experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.97930652
core_adaptation,alc,recall_mse,0.72933215
core_adaptation,alc_no_write,recall_mse,0.34502912
core_adaptation,baseline,recall_acc,0.03125000
core_adaptation,alc,recall_acc,0.14062500
core_adaptation,alc_no_write,recall_acc,0.00000000
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.48582104
stability,alc,slot_norm_max,0.71180701
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09244064
trainability,interface_trainable,loss_after,0.07549241
trainability,interface_frozen,loss_eval,0.09244064
language_benchmark,baseline,recall_mse,1.15294480
language_benchmark,alc,recall_mse,1.06147492
language_benchmark,alc_no_write,recall_mse,0.31998730
language_benchmark,baseline,recall_acc,0.00000000
language_benchmark,alc,recall_acc,0.02083333
language_benchmark,alc_no_write,recall_acc,0.02083333
tinyqa,baseline,qa_acc_delay_0,0.03333334
tinyqa,alc,qa_acc_delay_0,0.03333334
tinyqa,alc_no_write,qa_acc_delay_0,0.03333334
tinyqa,baseline,qa_acc_delay_4,0.03333334
tinyqa,alc,qa_acc_delay_4,0.06666667
tinyqa,alc_no_write,qa_acc_delay_4,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.06666667
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_delay_8,0.03333334
tinyqa,alc,qa_acc_delay_8,0.05000000
tinyqa,alc_no_write,qa_acc_delay_8,0.03333334
tinyqa,baseline,delayed_qa_acc,0.03333334
tinyqa,alc,delayed_qa_acc,0.05000000
tinyqa,alc_no_write,delayed_qa_acc,0.03333334
tinyqa,baseline,qa_acc_mean,0.03333334
tinyqa,alc,qa_acc_mean,0.05000000
tinyqa,alc_no_write,qa_acc_mean,0.03333334
tinyqa,dataset,num_samples,60.00000000
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.31097123
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.31577161
ablation,S4_eta0.05_softmax_additive,recall_mse,0.34633484
ablation,S4_eta0.05_softmax_gated,recall_mse,0.29979587
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.30477723
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.30319157
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.28798926
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.33073539
ablation,S4_eta0.20_softmax_additive,recall_mse,0.30621973
ablation,S4_eta0.20_softmax_gated,recall_mse,0.31104445
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.28306270
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.29804134
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.42714411
