experiment,variant,metric,value
core_adaptation,baseline,recall_mse,0.70201659
core_adaptation,alc,recall_mse,0.39011621
core_adaptation,alc_no_write,recall_mse,0.34023783
core_adaptation,baseline,recall_acc,0.03125000
core_adaptation,alc,recall_acc,0.14062500
core_adaptation,alc_no_write,recall_acc,0.04687500
stability,alc,nan_rate,0.00000000
stability,alc,slot_norm_init,0.00000000
stability,alc,slot_norm_final,0.53150415
stability,alc,slot_norm_max,0.73839688
persistence,alc,save_ok,1.00000000
persistence,alc,load_ok,1.00000000
persistence,alc,slot_max_abs_diff,0.00000000
persistence,alc,behavior_max_abs_diff,0.00000000
trainability,interface_trainable,loss_before,0.09223220
trainability,interface_trainable,loss_after,0.07551746
trainability,interface_frozen,loss_eval,0.09223220
language_benchmark,baseline,recall_mse,1.13916886
language_benchmark,alc,recall_mse,1.05027926
language_benchmark,alc_no_write,recall_mse,0.34382877
language_benchmark,baseline,recall_acc,0.00000000
language_benchmark,alc,recall_acc,0.01041667
language_benchmark,alc_no_write,recall_acc,0.00000000
ablation,S4_eta0.05_hard_top1_additive,recall_mse,0.31008348
ablation,S4_eta0.05_hard_top1_gated,recall_mse,0.34149772
ablation,S4_eta0.05_softmax_additive,recall_mse,0.31466985
ablation,S4_eta0.05_softmax_gated,recall_mse,0.29765496
ablation,S4_eta0.05_topk_softmax_additive,recall_mse,0.37090877
ablation,S4_eta0.05_topk_softmax_gated,recall_mse,0.32544789
ablation,S4_eta0.20_hard_top1_additive,recall_mse,0.23223574
ablation,S4_eta0.20_hard_top1_gated,recall_mse,0.29973668
ablation,S4_eta0.20_softmax_additive,recall_mse,0.39562553
ablation,S4_eta0.20_softmax_gated,recall_mse,0.38415682
ablation,S4_eta0.20_topk_softmax_additive,recall_mse,0.25632837
ablation,S4_eta0.20_topk_softmax_gated,recall_mse,0.34997717
ablation,S4_eta0.50_hard_top1_additive,recall_mse,0.51141316
ablation,S4_eta0.50_hard_top1_gated,recall_mse,0.23798852
ablation,S4_eta0.50_softmax_additive,recall_mse,0.29842451
ablation,S4_eta0.50_softmax_gated,recall_mse,0.31306016
ablation,S4_eta0.50_topk_softmax_additive,recall_mse,0.32500955
ablation,S4_eta0.50_topk_softmax_gated,recall_mse,0.30148110
ablation,S8_eta0.05_hard_top1_additive,recall_mse,0.30513418
ablation,S8_eta0.05_hard_top1_gated,recall_mse,0.36453819
ablation,S8_eta0.05_softmax_additive,recall_mse,0.33431357
ablation,S8_eta0.05_softmax_gated,recall_mse,0.34067068
ablation,S8_eta0.05_topk_softmax_additive,recall_mse,0.29559550
ablation,S8_eta0.05_topk_softmax_gated,recall_mse,0.35093597
ablation,S8_eta0.20_hard_top1_additive,recall_mse,0.26412481
ablation,S8_eta0.20_hard_top1_gated,recall_mse,0.28925514
ablation,S8_eta0.20_softmax_additive,recall_mse,0.33742449
ablation,S8_eta0.20_softmax_gated,recall_mse,0.33000898
ablation,S8_eta0.20_topk_softmax_additive,recall_mse,0.25734180
ablation,S8_eta0.20_topk_softmax_gated,recall_mse,0.31577811
ablation,S8_eta0.50_hard_top1_additive,recall_mse,0.44412860
ablation,S8_eta0.50_hard_top1_gated,recall_mse,0.27253193
ablation,S8_eta0.50_softmax_additive,recall_mse,0.36235031
ablation,S8_eta0.50_softmax_gated,recall_mse,0.35917395
ablation,S8_eta0.50_topk_softmax_additive,recall_mse,0.28275365
ablation,S8_eta0.50_topk_softmax_gated,recall_mse,0.28740811
ablation,S16_eta0.05_hard_top1_additive,recall_mse,0.33597955
ablation,S16_eta0.05_hard_top1_gated,recall_mse,0.29511946
ablation,S16_eta0.05_softmax_additive,recall_mse,0.31582132
ablation,S16_eta0.05_softmax_gated,recall_mse,0.27878392
ablation,S16_eta0.05_topk_softmax_additive,recall_mse,0.31190982
ablation,S16_eta0.05_topk_softmax_gated,recall_mse,0.31640044
ablation,S16_eta0.20_hard_top1_additive,recall_mse,0.23680311
ablation,S16_eta0.20_hard_top1_gated,recall_mse,0.28552368
ablation,S16_eta0.20_softmax_additive,recall_mse,0.30416036
ablation,S16_eta0.20_softmax_gated,recall_mse,0.29443100
ablation,S16_eta0.20_topk_softmax_additive,recall_mse,0.26158187
ablation,S16_eta0.20_topk_softmax_gated,recall_mse,0.29805756
ablation,S16_eta0.50_hard_top1_additive,recall_mse,0.38603592
ablation,S16_eta0.50_hard_top1_gated,recall_mse,0.24374354
ablation,S16_eta0.50_softmax_additive,recall_mse,0.35050327
ablation,S16_eta0.50_softmax_gated,recall_mse,0.30524465
ablation,S16_eta0.50_topk_softmax_additive,recall_mse,0.25762793
ablation,S16_eta0.50_topk_softmax_gated,recall_mse,0.32272196
efficiency,baseline,forward_ms,0.49272112
efficiency,alc,forward_ms,0.55854696
efficiency,alc,slowdown_ratio,1.13359655
efficiency,alc,extra_params,992.00000000
